Name,Latitude,Longitude
Banashankari,15.8876779,75.7046777
Basavanagudi,12.9417261,77.5755021
Mysore Road,12.3872141,76.6669626
Jayanagar,27.64392675,83.05280519687284
Kumaraswamy Layout,12.9081487,77.5553179
Rajarajeshwari Nagar,12.9274413,77.5155224
Vijay Nagar,12.0194147,93.0065204
Uttarahalli,12.9055682,77.5455438
JP Nagar,12.2655944,76.6465404
South Bangalore,12.8845448,77.5701276
City Market,39.76880625,-86.15345077251979
Nagarbhavi,12.95961755,77.51126721318181
Bannerghatta Road,12.9399392,77.602327
BTM,45.95485055,-112.49659530324134
Kanakapura Road,12.5607431,77.4258375
Bommanahalli,12.9089453,77.6239038
CV Raman Nagar,17.2510682,80.1651978
Electronic City,-8.6368007,115.2147012
HSR,18.1475,41.538889
Marathahalli,12.9552572,77.6984163
Sarjapur Road,12.924299,77.6517653
Wilson Garden,12.9489339,77.5968273
Shanti Nagar,12.983117,80.0578688
Koramangala 5th Block,12.9343774,77.628415
Koramangala 8th Block,12.9417812,77.6160146
Richmond Road,40.5763076,-74.1270894
Koramangala 7th Block,12.9302645,77.6332585
Jalahalli,13.6510577,77.4305219
Koramangala 4th Block,12.93433385,77.63040639553275
Bellandur,12.93577245,77.66676103753434
Whitefield,44.3730577,-71.6118577
East Bangalore,12.9845687,77.73766474151809
Old Airport Road,33.9752198,-93.8420146
Indiranagar,12.9732913,77.6404672
Koramangala 1st Block,12.927667750000001,77.63034908414326
Frazer Town,12.996845,77.6130165
RT Nagar,13.0227204,77.595715
MG Road,12.5000744,74.9888971
Brigade Road,40.28745,-76.964526
Lavelle Road,40.7652844,-76.373824
Church Street,40.7160591,-74.0070597
Ulsoor,12.9778793,77.6246697
Residency Road,38.7342786,-77.5268431
Shivajinagar,18.5322493,73.8499601124847
Infantry Road,34.977289,-78.974578
St. Marks Road,33.1193914,-84.8260864
Cunningham Road,31.89376,-88.066644
Race Course Road,52.7678265,0.2986572
Commercial Street,51.51697,-0.0732373
Vasanth Nagar,12.988721250000001,77.58516877601824
HBR Layout,13.0358698,77.6323597
Domlur,12.9624669,77.6381958
Ejipura,12.945245,77.6269144
Jeevan Bhima Nagar,12.9678074,77.6568367
Old Madras Road,13.1979218,78.7089783
Malleshwaram,13.0027353,77.5703253
Seshadripuram,12.9931876,77.5753419
Kammanahalli,13.0093455,77.6377094
Koramangala 6th Block,12.9400321,77.6203272
Majestic,1.2847055,103.84320655721689
Langford Town,12.957998,77.6037312
Central Bangalore,13.0101286,77.5548006
Sanjay Nagar,30.1915796,74.9408769
Brookefield,33.5935063,-79.0345627
"ITPL Main Road, Whitefield",12.9866817,77.7318033
"Varthur Main Road, Whitefield",12.9414662,77.7470942
KR Puram,13.007516,77.695935
Koramangala 2nd Block,12.9243509,77.6255562
Koramangala 3rd Block,12.9271867,77.6266252
Koramangala,13.2923988,77.7519261
Hosur Road,12.7388829,77.8214033
Rajajinagar,12.9882338,77.554883
Banaswadi,13.0141618,77.6518539
North Bangalore,12.9767936,77.590082
Nagawara,13.2227,78.5541977
Hennur,13.0258087,77.6305067
Kalyan Nagar,13.0221416,77.6403368
New BEL Road,13.0431836,77.5613495
Jakkur,13.0784743,77.6068938
Rammurthy Nagar,,
Thippasandra,12.973936,77.6509982
Kaggadasapura,12.9846713,77.6790908
Hebbal,13.0382184,77.5919
Kengeri,12.9176571,77.4837568
Sankey Road,38.7801076,-121.5056438
Sadashiv Nagar,15.8782951,74.5084834
Basaveshwara Nagar,12.2949402,76.6160796
Yeshwantpur,13.02383,77.5529215
West Bangalore,12.9848519,77.5400626
Magadi Road,12.945048,77.263004
Yelahanka,13.1006982,77.5963454
Sahakara Nagar,18.4900796,73.8475301
Peenya,13.0329419,77.5273253
